Respondent_ID,Gender,Age_Group,Experience_Years,Employment_Sector,Current_Monthly_Salary,Salary_Adequacy,Salary_Adequacy_score,Income_Expenditure,Debt_Status,Food & Groceries,Food_score_Num,Transport_Score,Transportataion_score_Num,Healthcare_score,Healthcare_score_Num,Savings_Behaviour,Coping_Strategy
111,Female,26-35,3 years and above,Public sector (Government/Civil Service),"#50,000 - #150,000","It covers less than before, I manage but with difficulty",3,More than 90%,"Yes, regularly, I borrow almost every month",Slightly Affected,2,Slightly Affected,2,Slightly Affected,2,I save much less than I used to,Borrowing money or taking loans
112,Female,36-45,3 years and above,NGO / International Organisation,"#50,000 - #150,000","It covers much less than before, I struggle significantly",4,More than 90%,"Yes, regularly, I borrow almost every month",Slightly Affected,2,Slightly Affected,2,Severely Affected,4,I save much less than I used to,Drawing down on existing savings or investments
113,Male,36-45,3 years and above,NGO / International Organisation,"#50,000 - #150,000",It covers about the same as before,2,71% - 90%,"Yes, occasionally, I borrow when things get too tight",Severely Affected,4,Severely Affected,4,Severely Affected,4,I save much less than I used to,Reducing food quantity or quality
114,Female,46 and above,3 years and above,NGO / International Organisation,"#50,000 - #150,000","It covers much less than before, I struggle significantly",4,71% - 90%,"Yes, regularly, I borrow almost every month",Slightly Affected,2,Slightly Affected,2,Severely Affected,4,I save much less than I used to,Joining a cooperative savings group (Ajo/Esusu)
115,Male,18-25,3 years and above,Self-employed but on a fixed monthly salary,"Below #50,000","It covers much less than before, I struggle significantly",4,More than 90%,"Yes, regularly, I borrow almost every month",Severely Affected,4,Slightly Affected,2,Severely Affected,4,"I have completely stopped saving , there is nothing left to save",Cutting back on non-essential spending
116,Male,26-35,3 years and above,NGO / International Organisation,"Above #500,000","It covers much less than before, I struggle significantly",4,More than 90%,"Yes, regularly, I borrow almost every month",Extremely Affected,5,Extremely Affected,5,Severely Affected,4,"I have completely stopped saving , there is nothing left to save",Taking on an additional job or side hustle
117,Female,18-25,3 years and above,Self-employed but on a fixed monthly salary,"Above #500,000","It covers more than before, my situation has improved",1,51% - 70%,"No, I have managed without borrowing or depleting savings",Slightly Affected,2,Moderately Affected,3,Severely Affected,4,I now save more deliberately to protect myself,Taking on an additional job or side hustle
118,Male,18-25,3 years and above,Self-employed but on a fixed monthly salary,"Below #50,000",It covers about the same as before,2,50% or less,"Yes, occasionally, I borrow when things get too tight",Slightly Affected,2,Not Affected at all,0,Slightly Affected,2,My savings have remained roughly the same,Taking on an additional job or side hustle
119,Female,26-35,3 years and above,Self-employed but on a fixed monthly salary,"Below #50,000",It covers about the same as before,2,50% or less,"Yes, regularly, I borrow almost every month",Not Affected at all,0,Slightly Affected,2,Slightly Affected,2,My savings have remained roughly the same,Joining a cooperative savings group (Ajo/Esusu)
120,Male,18-25,3 years and above,Self-employed but on a fixed monthly salary,"Below #50,000",It covers about the same as before,2,50% or less,"Yes, occasionally, I borrow when things get too tight",Not Affected at all,0,Not Affected at all,0,Not Affected at all,0,I now save more deliberately to protect myself,Joining a cooperative savings group (Ajo/Esusu)
121,Female,18-25,3 years and above,Self-employed but on a fixed monthly salary,"#50,000 - #150,000","It covers more than before, my situation has improved",1,50% or less,"No, I have managed without borrowing or depleting savings",Not Affected at all,0,Slightly Affected,2,Not Affected at all,0,I now save more deliberately to protect myself,Joining a cooperative savings group (Ajo/Esusu)
122,Male,26-35,3 years and above,NGO / International Organisation,"#151,000 - #300,000",It covers about the same as before,2,51% - 70%,"No, but I have completely depleted my savings to cope",Moderately Affected,3,Moderately Affected,3,Moderately Affected,3,I now save more deliberately to protect myself,Joining a cooperative savings group (Ajo/Esusu)
123,Female,36-45,3 years and above,Private sector,"#50,000 - #150,000",It covers about the same as before,2,50% or less,"No, but I have completely depleted my savings to cope",Slightly Affected,2,Slightly Affected,2,Not Affected at all,0,I now save more deliberately to protect myself,Joining a cooperative savings group (Ajo/Esusu)
124,Female,36-45,3 years and above,Private sector,"#301,000 - #500,000",It covers about the same as before,2,51% - 70%,"No, I have managed without borrowing or depleting savings",Slightly Affected,2,Not Affected at all,0,Not Affected at all,0,My savings have remained roughly the same,Cutting back on non-essential spending
125,Female,46 and above,3 years and above,Public sector (Government/Civil Service),"#50,000 - #150,000",It covers about the same as before,2,51% - 70%,"No, I have managed without borrowing or depleting savings",Slightly Affected,2,Slightly Affected,2,Extremely Affected,5,My savings have remained roughly the same,Joining a cooperative savings group (Ajo/Esusu)
126,Female,36-45,3 years and above,Public sector (Government/Civil Service),"#50,000 - #150,000","It covers much less than before, I struggle significantly",4,More than 90%,"Yes, occasionally, I borrow when things get too tight",Extremely Affected,5,Slightly Affected,2,Severely Affected,4,I save much less than I used to,Borrowing money or taking loans
127,Male,26-35,3 years and above,Self-employed but on a fixed monthly salary,"#151,000 - #300,000","It covers less than before, I manage but with difficulty",3,More than 90%,"Yes, regularly, I borrow almost every month",Moderately Affected,3,Slightly Affected,2,Not Affected at all,0,I save much less than I used to,Drawing down on existing savings or investments
